n,t,t/n,t/n^2
50,"2,6509","0,053018","0,00106036"
100,"10,6189","0,106189","0,00106189"
150,"24,6199","0,1641326667","0,0010942178"
200,"64,0654","0,320327","0,001601635"
250,"99,0569","0,3962276","0,0015849104"
300,"144,893","0,4829766667","0,0016099222"
350,"195,9567","0,5598762857","0,0015996465"
400,"257,1133","0,64278325","0,0016069581"
450,"322,2716","0,7161591111","0,0015914647"
500,"396,8685","0,793737","0,001587474"
,,,
n,t/n,,
50,"0,053018",,
100,"0,106189",,
150,"0,1641326667",,
200,"0,320327",,
250,"0,3962276",,
300,"0,4829766667",,
350,"0,5598762857",,
400,"0,64278325",,
450,"0,7161591111",,
500,"0,793737",,
,,,
n,t/n^2,,
50,"0,00106036",,
100,"0,00106189",,
150,"0,0010942178",,
200,"0,001601635",,
250,"0,0015849104",,
300,"0,0016099222",,
350,"0,0015996465",,
400,"0,0016069581",,
450,"0,0015914647",,
500,"0,001587474",,
